181	137	3
182	181	4
182	231	5
182	232	6
182	183	1
182	139	2
182	138	3
183	182	4
183	232	5
183	233	6
183	184	1
183	140	2
183	139	3
184	183	4
184	233	5
184	234	6
184	185	1
184	141	2
184	140	3
185	184	4
185	234	5
185	235	6
185	186	1
185	142	2
185	141	3
186	185	4
186	235	5
186	236	6
186	237	1
186	187	2
186	142	3
187	142	4
187	186	5
187	237	6
187	238	1
187	188	2
187	143	3
188	143	4
188	187	5
188	238	6
188	239	1
188	189	2
188	144	3
189	144	4
189	188	5
189	239	6
189	240	1
189	190	2
189	145	3
190	145	4
190	189	5
190	240	6
190	241	1
190	191	2
190	146	3
191	146	4
191	190	5
191	241	6
191	242	1
191	192	2
191	147	3
192	147	4
192	191	5
192	242	6
192	243	1
192	193	2
192	148	3
193	148	4
193	192	5
193	243	6
193	244	1
193	194	2
193	149	3
194	149	4
194	193	5
194	244	6
194	245	1
194	246	2
194	195	3
195	150	4
195	149	5
195	194	6
195	246	1
195	247	2
195	196	3
196	151	4
196	150	5
196	195	6
196	247	1
196	248	2
196	197	3
197	152	4
197	151	5
197	196	6
197	248	1
197	249	2
197	198	3
198	153	4
198	152	5
198	197	6
198	249	1
198	250	2
198	199	3
199	154	4
199	153	5
199	198	6
199	250	1
199	251	2
199	200	3
200	155	4
200	154	5
200	199	6
200	251	1
200	252	2
200	201	3
201	156	4
201	155	5
201	200	6
201	252	1
201	253	2
201	202	3
202	203	4
202	156	5
202	201	6
202	253	1
202	254	2
202	255	3
203	204	4
203	157	5
203	156	6
203	202	1
203	255	2
203	256	3
204	205	4
204	158	5
204	157	6
204	203	1
204	256	2
204	257	3
205	206	4
205	159	5
205	158	6
205	204	1
205	257	2
205	258	3
206	207	4
206	160	5
206	159	6
206	205	1
206	258	2
206	259	3
207	208	4
207	161	5
207	160	6
207	206	1
207	259	2
207	260	3
208	209	4
208	162	5
208	161	6
208	207	1
208	260	2
208	261	3
209	210	4
209	163	5
209	162	6
209	208	1
209	261	2
209	262	3
210	264	4
210	211	5
210	163	6
210	209	1
210	262	2
210	263	3
211	265	4
211	212	5
211	164	6
211	163	1
211	210	2
211	264	3
212	266	4
212	213	5
212	165	6
212	164	1
212	211	2
212	265	3
213	267	4
213	214	5
213	166	6
213	165	1
213	212	2
213	266	3
214	268	4
214	215	5
214	167	6
214	166	1
214	213	2
214	267	3
215	269	4
215	216	5
215	168	6
215	167	1
215	214	2
215	268	3
216	270	4
216	217	5
216	169	6
216	168	1
216	215	2
216	269	3
217	271	4
217	170	5
217	128	6
217	169	1
217	216	2
217	270	3
218	272	4
218	273	5
218	219	6
218	170	1
218	271	2
218	331	3
219	273	4
219	274	5
219	220	6
219	171	1
219	170	2
219	218	3
220	274	4
220	275	5
220	221	6
220	172	1
220	171	2
220	219	3
221	275	4
221	276	5
221	222	6
221	173	1
221	172	2
221	220	3
222	276	4
222	277	5
222	223	6
222	174	1
222	173	2
222	221	3
223	277	4
223	278	5
223	224	6
223	175	1
223	174	2
223	222	3
224	278	4
224	279	5
224	225	6
224	176	1
224	175	2
224	223	3
225	279	4
225	280	5
225	226	6
225	177	1
225	176	2
225	224	3
